name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Airport Shuttle (free),Private Parking,Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Laundry,Water Park,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Facilities for Disabled Guests,Bar,Beach nearby,wonderful Fitness Center,Beachfront,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,Private Beach Area,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist,Cluster
Sheraton Gateway Los Angeles,90045,"5,663",8.1,8.5,8.4,8.0,7.8,7.4,7.2,8.2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.2 miles from center),2
The Jeremy Hotel West Hollywood,90069,563,8.9,9.3,9.0,8.7,8.9,8.2,9.5,9.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center),5
Hampton Inn & Suites Santa Monica,90401,867,8.3,8.8,8.6,8.2,8.2,7.2,8.4,8.9,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,(14.3 miles from center),3
"Beverly Wilshire, A Four Seasons Hotel",90212,427,8.9,9.1,9.0,8.7,9.2,7.6,8.4,9.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.7 miles from center),5
The London West Hollywood at Beverly Hills,90069,865,8.8,9.2,9.1,8.9,8.9,7.9,8.9,8.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center),5
Mr C Beverly Hills,90035,464,8.4,8.8,8.7,8.3,8.7,7.4,7.8,8.6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,(8.7 miles from center),3
LEVEL Furnished Living Suites Downtown Los Angeles,90015,390,9.0,9.3,9.3,9.3,9.1,8.1,9.5,9.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1 miles from center),5
Radisson Hotel Los Angeles Midtown at USC,90007,"1,301",8.2,8.6,8.4,8.1,8.4,7.4,8.4,8.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(3.1 miles from center),3
DoubleTree Suites by Hilton Santa Monica,-3310,"1,255",8.0,8.4,8.2,7.8,8.5,6.7,5.5,8.4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,(14.3 miles from center),2
Viceroy L'Ermitage Beverly Hills,90210,445,9.2,9.6,9.5,9.2,9.3,8.5,9.5,9.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.7 miles from center),4
Plaza la Reina,90024,208,9.1,9.3,9.2,9.1,9.1,8.6,9.9,9.3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(11.2 miles from center),4
Marina del Rey Suites,90292,355,9.0,9.2,9.2,9.1,8.9,8.5,9.5,9.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.8 miles from center),5
Waldorf Astoria Beverly Hills,90210,71,9.3,9.7,9.6,9.5,9.4,8.3,8.5,9.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(9.3 miles from center),4
Hotel Figueroa Downtown Los Angeles,90015,155,8.9,9.2,9.0,8.7,9.2,8.1,9.0,9.1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center),5
Beverly Laurel Motor Hotel,90048,"1,613",8.5,8.9,8.4,8.2,8.8,8.0,8.9,8.8,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.8 miles from center),3
Popular Hollywood Rockstar Penthouse,90028,7,8.0,7.5,8.6,7.5,6.4,8.2,9.7,2.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),0
Best Western Plus Sunset Plaza Hotel,90069,"1,045",8.4,8.7,8.5,8.2,8.3,7.6,8.4,8.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center),3
Kimpton Everly Hotel,90028,363,9.0,9.4,9.4,9.0,9.2,8.1,8.7,8.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center),5
InterContinental Los Angeles Century City at Beverly Hills,90067,512,8.6,9.0,8.9,8.6,9.0,7.7,7.5,8.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,(9.3 miles from center),3
Venice on the Beach Hotel,90291,"1,665",8.5,8.7,8.1,7.9,9.1,7.6,8.6,9.5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(13.7 miles from center),3
BLVD Hotel & Spa,91604,956,8.2,8.7,8.4,7.9,8.5,7.5,7.8,8.5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.7 miles from center),3
Casa Del Mar,90405,549,8.8,9.2,9.1,8.8,9.0,7.4,9.0,9.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,(14.3 miles from center),5
Hyatt Regency Los Angeles International Airport,90045,"2,762",8.6,8.9,8.9,8.6,8.7,7.9,8.1,8.9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.2 miles from center),3
The NoMad Los Angeles,90014,125,8.9,9.4,9.1,9.1,8.8,8.2,8.9,8.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.8 miles from center),5
Andaz West Hollywood-a concept by Hyatt,90069,649,8.8,9.1,9.0,8.8,9.2,7.9,8.7,9.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center),5
Hollywood Luxury Suite * 5 beds + Parking,90028,18,8.8,8.9,9.2,8.5,8.9,8.5,10.0,9.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),5
Montage Beverly Hills,90210,160,8.9,9.3,9.1,8.9,9.0,7.6,8.6,9.6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.7 miles from center),5
"Luxury, Hollywood Walk of Fame",90028,57,8.6,8.8,8.4,8.4,8.7,8.1,10.0,9.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),5
