userID,itemID,rating
User_1,2 Bedroom Celebrity Loft,3
User_1,24 Hours Motel,4
User_1,36 Story Amazing View Penthouse,1
User_1,AIR Venice on the Beach,5
User_1,AKA Beverly Hills,3
User_1,Abbot Kinney Apartment,2
User_1,Ace Hotel Downtown Los Angeles,3
User_1,Amazing Apartment Hollywood Blvd 2bd/bth,1
User_1,Amazing Apartment in Santa Monica,5
User_1,Ambrose Hotel,2
User_1,American Hotel,4
User_1,Andaz West Hollywood-a concept by Hyatt,5
User_1,Angel City Spacious Apartment,2
User_1,Apartment North Mansfield Ave,3
User_1,Arroyo Vista Inn,1
User_1,Audrey House,1
User_1,Avalon Hotel Beverly Hills,3
User_1,BLVD Hotel & Spa,5
User_1,BLVD Hotel & Suites,5
User_1,BRILLIANT HOME IN SANTA MONICA BEACH *23,2
User_1,Banana Bungalow,1
User_1,Bayside Hotel,2
User_1,Beautiful Large Duplex House at The GROVE | Free Parking,3
User_1,Beautiful Sunset in Santa Monica Beach *4,1
User_1,Best Western Burbank Airport Inn,3
User_1,Best Western Hollywood Plaza Inn,1
User_1,Best Western Plus Dragon Gate Inn,3
User_1,Best Western Plus Hollywood Hills Hotel,4
User_1,Best Western Plus Sunset Plaza Hotel,2
User_1,Best Western Royal Palace Inn & Suites,2
User_1,Beverly Hills / Cedars Sinai,4
User_1,Beverly Hills Celebrity Home,3
User_1,Beverly Hills Guest House,5
User_1,Beverly Hills Marriott,5
User_1,Beverly Hills Plaza Hotel,4
User_1,Beverly Hills Spanish Apartment,3
User_1,Beverly Laurel Motor Hotel,2
User_1,"Beverly Wilshire, A Four Seasons Hotel",1
User_1,Big & Beautiful 3Bedroom Apt in Marina Del Rey,1
User_1,Bluetiful Apartment Near to convention center,4
User_1,Boutique 444 Venice Beach,3
User_1,Boutique Citrus Apartments,2
User_1,Boutique Hollywood,4
User_1,Brentwood Family home,5
User_1,Brentwood Inn,2
User_1,Bungalows at Marina del Rey/ Venice Beach,1
User_1,CALIFORNIA Deluxe Suite | 2BD/2BT | FREE PARKING | POOL !,4
User_1,Cal Mar Hotel Suites,5
User_1,Carlyle Inn,2
User_1,Casa Del Mar,5
User_1,Century Park Hotel LA,1
User_1,"Channel Road Inn, A Four Sisters Inn",2
User_1,Charlie Chaplin Historic Hollywood Home,1
User_1,Charming and Lovely apt!,1
User_1,Chateau Marmont,3
User_1,Chic 2 Bedroom/2 Bathroom Suite at the Beach,1
User_1,Chic Hollywood home - central to everything,4
User_1,Chic Staples Center Apartment,4
User_1,Chic and Charming 1 bdr,1
User_1,Clean and Nice Single Room,5
User_1,Comfort Inn & Suites Near Universal - North Hollywood â Burbank,3
User_1,Comfort Inn Los Angeles near Hollywood,4
User_1,Comfort Inn Near Old Town Pasadena in Eagle Rock CA,5
User_1,Comfort Inn Santa Monica - West Los Angeles,2
User_1,Comfort Suites,5
User_1,Comforting Hollywood Getaway,5
User_1,Contemporary Apartment in Downtown LA,5
User_1,Corporate Suites in Downtown LA near Staples Center,1
User_1,Courtyard Los Angeles Westside,4
User_1,Courtyard by Marriott Los Angeles L.A. LIVE,4
User_1,Courtyard by Marriott Los Angeles LAX / Century Boulevard,5
User_1,Courtyard by Marriott Santa Monica,5
User_1,Cozy Silver Lake Getaway,3
User_1,Crescent Hotel,3
User_1,Crowne Plaza Los Angeles International Airport,1
User_1,DOWNTOWN L.A. 36 Story Breath Taking View Penthouse,5
User_1,DOWNTOWN L.A. SKY VIEW PENTHOUSE & 4 BEDS,4
